county_name,poverty_rate_pct,median_household_income,state_fips,county_fips,snap_participation_pct
Addison,7.5,85870,50,001,9.0
Bennington,11.2,68558,50,003,14.9
Caledonia,11.8,62964,50,005,14.1
Chittenden,11.2,89494,50,007,7.6
Essex,13.2,55247,50,009,16.2
Franklin,10.4,73633,50,011,11.6
Grand Isle,7.4,86639,50,013,9.7
Lamoille,8.6,69886,50,015,8.7
Orange,9.2,74534,50,017,10.2
Orleans,9.8,63981,50,019,13.7
Rutland,11.4,62641,50,021,10.6
Washington,9.9,77278,50,023,10.3
Windham,12.6,65473,50,025,13.5
Windsor,8.7,69492,50,027,9.0
