,PC1,PC2,PC3,PC4,PC5
total_enrollment,-0.09101090474665381,0.3941809901313729,-0.06185425020265567,0.039513033943712576,-0.21105093163154562
num_schools,-0.05902411982421831,0.4025157922052343,-0.048321407657455344,-0.12392049187948426,-0.08858241855378303
avg_school_enrollment,-0.09680301610809816,0.23537194345836746,-0.06139272871649209,0.38389773139506417,-0.39867385346095746
num_elementary,-0.03697188788702929,0.3334954415952428,-0.016328780455306433,-0.36633689097704614,0.0009598014649132069
num_middle,-0.06458938044079493,0.29552627095347,0.025871569431575318,-0.20574206353617552,-0.21685233540078178
num_high,-0.04789988867012909,0.3207108755031308,-0.0788921032451021,0.0767419032585666,0.026917860852958643
num_combined,0.00793616457333022,-0.04515855209325136,-0.10102166305338704,0.7379458784866081,-0.17439182816496043
weighted_frpl_rate,0.3373567025889112,0.08700599404144767,0.1646419878842263,0.017526889151703848,-0.0635013649741467
free_lunch_rate,0.31918640791935604,0.09622500157201153,0.1197965018851496,-0.01844693196054744,-0.09247379121463233
reduced_lunch_rate,0.18943051608018754,0.011920145502006704,0.18812641189419435,0.10305914811873218,0.05052192639850568
school_frpl_variance,0.019766611055177297,0.30256717524975213,-0.16286317732474181,0.2376253442862586,0.543469074917375
school_frpl_range,-0.0033178725720116246,0.38388867074694205,-0.13625516140982524,0.11049717753691843,0.3538437838481476
min_school_frpl_rate,0.3393800677847816,0.015728046417927476,0.1857683789192766,-0.0054818979586119,-0.11985571038998981
max_school_frpl_rate,0.31784690753434847,0.17665780972558195,0.11729676376935015,0.041433363045482695,0.036449626195868924
county_poverty_rate,0.08192252777899166,0.01835317389881764,-0.4595109583096794,-0.13667612529043538,-0.4514429723368581
county_median_income,-0.23136375862382755,0.08985174888190471,0.42588614965896215,0.03835232556679601,-0.13359567600538935
county_snap_rate,0.22190631527469254,-0.07119067042345369,-0.3626212141235435,-0.06273790755342215,-0.11617999948155547
frpl_vs_county_poverty,0.3297903171114069,0.08534232562557878,0.2127406962605272,0.031746787464875165,-0.016866789624957648
county_income_zscore,-0.23134556037180126,0.08985806824553616,0.42588234673329983,0.03832480978760918,-0.1336700829462907
frpl_zscore,0.3373589465742723,0.08700296098535334,0.16463762933399326,0.017538307212128623,-0.06346568848542804
hardship_score,0.3423583342244326,-0.0017186726002808407,-0.15726816742015393,-0.012513378197044523,0.04226271560225178
